text,sentiment
اناانحب برشابرشاوالله ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️انحبكم بررررررررررررررررررررررررررررررررررررررررررررشاانامن تونس🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳,
الحق مسلسل فلوجة تفرجتو عاشر نهار في رمضان حلو وهايل بزااف عجبني الحق إبداع كبير فيه اختكم من الجزائر 🇩🇿♥️ 🇹🇳,1
انا جزائريه وعجبني المسلسل بصح مالقيتش الحلقات في اليوتوب وين نلقاهم؟,1
وين نلقا الجزء الثاني,
كي ترجع نور سلمى شنيا 😭😭😭😭😭😭😭😭,
عزا فيكم كان هذا مسلسل 😐,-1
حب عذاب ودمار النفس,0
الله يفك كرب كل مكروب,1
اتعس شى انك تحبي واحد اصغر منك 😭😭😭😭💔,-1
نشاءالله نلقي واحد يحبني ومينسانيش كيف نوح يحب نور منسهاش 😊 من 🇩🇿تحيا ليكم كامل,0
ممكن الحلقة كاملة,
انا من الجزائر نتمنى يكون جزء 3 و4 فلوجة حقق نجاح كبير في الوطن العربي,
كن بلي افلوس نتفرجو اعليش هك 😡,
إذا تحب تفرج علي ملخص لحلقة دخلي و شوف  فلوجة جزء 1 و 2 . سوبرمان تونسي . رقوح . لحرقة . أفلام أجنبية 🎉,
انا من الجزائر ويعجبني مسلسل بزاف,1
نصقصيكم وايني الحلقة 1,
تي علاه هكا,-1
الحلقة بش تتعدى هوني,
ضحى نحبك,
ضحى نحبك انتي ورحمة,
ضحى اعملي مقلب في رحمة,
هاي نحبك ونموت عليك ضحى,
علاه مقصريت حلقات,
شكلها نور بتحبو لكن صحيح انها تبعد الانو قصتهم مستحيلة,1
الجزء ثاني شحال فيه من حلقة,
وين نشوف الحلقة كاملة,
مسلسل هذا لعبلي على لمورال بزاف ومفهمتش لمخرج وين حاب يوصل  وزيد كادار شخصية مستفزة يعني ما عندو حتى مشكل فحياتو بالعكس يدير لمشاكل,-1
يا انا نحب نوح يكون مع نور واش فيها لوكان كبيرة عليه العمر مجرد رقم 😊,1
وقتاش يلعب فتيلي وانو قناة يلعب فيها ؟؟؟,
نوح يحب نور و نور يحبها جنجون أو ميحبش إيقوللها,1
نتوقع نور رح تولي مع خو رحمة,0
ع ياقناه يطلع وكم الاعادة بالنهار,
مسلسل روعه,1
قالو مسلسل فلوجة هو تركي وشرينو توانسا عليهم ومترجمينو,0
نجم نسال سؤال وش معنى كلمة فلوجة,
ويت لقاو حلقات كاملة,
الجزايري الوحد هنا ?,
نوح هبل بنور 😂😂,1
تحيا من الجزائر 🇩🇿نحب فلوجة❤,1
ماكرون تونس 😂😂😂😊,
تو هكا تونس هههههه في اروبا ولينا,
فرشاااتتتتت😭😭 حلقة تاع يومممم,
نستنا واقتاه راح يتقبلو مي بينا حتي هيا تحبو ❤❤❤❤,1
. _.,
علاه ميهبطش كامل في اليوتيوب اىوقت لي يهبط فيه في التلفزة مش مناسب نكونو نغسلو الماعون,
وعلاه ما جتش هدرت معاه انا كي شفت نور خزرت فيه وليت ميتة بالفرحة❤❤❤❤,1
._.,
..,
.,
باغي نزور تونس فاكونص تع صيف,
غريبه ياخي هاذا اعمى مش يرا فاها اش عجبو فيها,-1
كان كذب وتبلعيط,-1
أمل و كادار يحبو بعضهم أما إنشالله بوها إيوافق,1
دور أمل رخيصة برشا السنا رخصت من قيمة البنات توانسة,-1
من جزائر تحياتي ناس تونس,
مسلسل صفر على صفر...الزطله و الفساد و قلة الحياء...تو يا رسول الله هذا مسلسل يجيبوه في شهر فضيل...شهر رمضان,-1
مسلسل كيف صرامهم قالك يمثل التوانسة 🫣🤥🤭🥶🙈,
وين نلق حلقة كاملة,
بربی فماش رابت نلقاو بیه الحلقه كامله,
وينتا تفيق امل بروحها وينتا 😥😥,
وين نلقاو الحلقة كاملة,
هادي يغيض😂😊,1
انا حلمي نمثل في فلوجة اما خسارة ما تحققش😢😢,
سوسن الجمني مال دور اعتط لتيسير كيفا تسلفق هادي كلب 🐕 تيسير ياسوسن الجمني يعطيك العافية على خير ان شاء الله بخير,1
هادي جا يطبها خلاها,-1
خيه مخيب تيسير,-1
تيسير يعطيك ڨصة في يديك ورجليك,-1
احسان مسلسال في تونس 🇹🇳🇹🇳🇹🇳,
مسلسل فروج. احلاه منه وانضف,1
يعطيك قصة في يدك يا تيسير,-1
مسكين هادي قلب مجروح❤😅,-1
تيسير يعطيك قصة في يديك,-1
احسن مسلسل شفت في حياتي❤,1
تحيا ألجنجون علي الدور هذا,1
يكب سعوادكم,-1
محلاها صداقة نوح وهادي,1
مسكين هادي 😢,-1
وشمن قناة يمشي 😢😢,
حطلنا نتفرجو الحلقة كاملة,
حطولنا الحلقات كاملين علاه هكا,
فلوجة ❤❤❤,
حطنا حلقات كاملة علاش تقطع فيهم,
مسلسل روعة من 🇩🇿 نحبكم ياسر تمثيل مبدع تحيسو من القلب,1
على قداه الاعادة نتاع الفيلم ❤❤❤❤,
من الجزائر اعشق تونس,
أ نا  يا نوح,0
صحة شريبتك شكون عجبو دوري في حلقة اليوم في فلوجة 2 ❤❤,
على اي ساعة يبدا؟,
هههههههههه هههههههههه ,0
يا رحمة خلي لحكاية عند نوح و هادي و إبراهيم أتوا هوما يحلو مشكل أو كان على أمك متخفيش عليها,0
شون اطلع تردد القناة,
حطولنا الحلقات كاملة,
وين تتفرجو لبنات,
🥰🥰🥰🥰🥰🥰كيوت دبرتها رحمة كون غير جا عندي صحبة كيما هاذي,0
ارحمو يرحمكم الله الكل فارح مستبشر الا نحن اليتيماة نستقبل رمضان بالعبرآت والدموع😭😭 ارحمو من في الارض يرحمكم من في السماء انا داخله على الله ثم عليكم يا اهل الخير حسبنا الله ونعم الوكيل في من اوصلنا الى هاذا الحال 💔💔وًّالَلَهَ الَعَظَيَمَ مَا كتَبَتَ هَذا الَمَنَاشَدَهَ غَيَرَ مَنَ الَضَيَقَ وّالَفَقَر يَاعَالَمَ حَسَوّا فَيَنَا ارَجَوّكمَ وّالَلَهَ الَعَظَيَمَ رَبَ الَعَرَشَ الَعَظَيَمَ انَه الَاكلَ مَا فَيَ عَنَدَيَ بَالَبَيَتَ وًّالَلَهَ يَا اخَوّانَيَ انَهَ اخَوًّنَيَ بَقَعَدَوًّ بَالَيَوًّمَيَنَ مَافَى اكلَ وًّالَلَهَ وًّضَعَنَا كثَيَرَ صَعَبَ نَحَنَ 😭 دَاخَلَ الَبَيَتَ وًّابَيَ الله يرحمه وًّلَا يَوًّجَدَ مَنَ يَعَوًّلَ عَلَيَنَا وًّسَاكنَيَنَ فَيَ بَيَتَ اجَارَ لَانَسَتَطَيَعَ دَفَعَ الَاجَارَ الَلَيَ بَاقَيَ عَلَيَنَا &#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39;&#39; اخي اول كلامي انا اقسم بالله على كتاب الله اني لااكذب عليك ولا انصب ولا احتال اني بنت يمنيه نازحين من تعز انا واسرتي بيننا ایت بلشهرب والان علينا @🥹 حق 3 شهور وصاحب البيت من الناس الي ماترحم والله يا اخي انه يجي كل يوم يبهدلنا ويتكلم علينا ويريد من البيت للشارع لانناماقدرنا ندفعله الأجار شافونا الجيران نبكي ورجعو تكلمو الجيران ومهلنالاخره الأسبوع معادفعنا له حلف يمين بالله هذا بيخرجنا إلى الشارع رحمه واحنا. بلادنا بسبب هذا الحرب ولانجد قوت يومنا وعايشين اناوامي واخوتي سفار والدنا متوفي الله يرحمه ومامعنا أحد في هذا الدنيا جاانبنا في هذه الظروف القاسيه اخوتي الصغار خرجو للشارع وشافو الجيران ياكلو واوقفو عند هم لجل يعطوهم ولو كسره خبز والله الذي  ملك السموات والارض انهم غلقو ال وطردوهم ورجعو یبکو ایموتو من الجوع ما احد رحمهم وعطلة ردها لقمت عیش والان لوما احدنا ساعدنا في إيكيلو دقيق  يرضيك اخي انموت من الجوع فيا اخي انا دخيله على الله ثم عليك واريد منك المساعده لوجه الله انشدك بالله تحب الخير واتساعدني ولو ب 00@ بقوت يوم واحد  ان تراسلي واتساب على هذا الرقم 00967713694524 وتطلب اسم بطاقتي وترسلي ولاتتاخر وايعوضك الله بكل خير اخواني سغار شوف كيف حالتهم وساعدنا وأنقذنا قبل أن يطردونا في الشارع تتبهدل أو نموت من الجوع وانا واسرتي نسالك بالله لولك مقدره على مساعد لاتتاخر علينا وجزاك الله خيز الجزاؤء_،.،نننننسنسسن.،□◇``..@.،،,
مسلسل تقول واقع توانسا,
هذا المسلسل غير محترم ويشجع على العلاقات الغير شرعية وأيضا على المخدرات واللقطات الغير أخلاقية واللباس منحكيوش,-1
ابراهيم ينطبق عليه المثل لا نحبك و لا نصبر عليك.,0
تحيا لمسلسلات الجزائرية,
رحمة تظهر اكبر من انو تكون تلميذة,
المسلسل هذا إيوعي الشباب التونسي على المخدرات و على الفساد,-1
احلى مسلسل ❤❤,1
بلاه الوقت على قداه يبدى المسلسل,
جزء أول وجزء الثاني موجود في برنامج هاي تيفي,
مننين هادو الحلقاة 🎉🎉,
جماعة مافهمتش كيفاش نتفرج كامل لحلقة,
الفن تم توظيفه لخدمة اغراض جمعيات مشبوهة,
قداه الحلقة تع اليوم,
قتلك هايااا ههه,
احلي مسلسل ❤❤❤❤❤❤,1
عمري ماقتنعت بنعيمة الجاني كممثلة,-1
المشكلة تسبو في المسلسل و كل ليلة تتفرجو,-1
جميع المسلسلات غي علا لحرابش والزنة ربي يلطف,-1
ههه عجبتني رحمة,1
انا اية عجبوني نوح و بلال رحمة و هادي احلي ابطال عندي,1
ايوووه شباب بزاف هدا فيلم والله 🇩🇿❤️,1
انا من الجي مبصح نحب نتفرجو بزافففففففففف ❤❤❤❤❤❤🥰😘💞😍,1
حسبي الله ونعم الوكيل فيك يا ولد فهري لا تربحك ولا تكون فيك ولا في اولادك ولا يكونك محمد شفيه ونار السعير,-1
هذا مسلسل يحبو يطبقوه على واقع شباب ما عندو حتى ذنب فيه هيكة لازم تتحرك ويتقص مسلسل هذا واوقاف مهازل,-1
تونس تبقى روطار في كلش,
8🎉,
انا دزرية حبيت نشوف على واش يحكي ياخي ليقيتو ميستاهلش باش نتفرج عليه وزيد انا كبيرة ومعرسة وحشمت  وانا نتفرج فيه بالطريقة هاذي راكم تهلكو في قداش من طفلة وطفل ربي يهديك سامي الفهري هاذا عمل منحط 0000000,-1
فلوجة 2 بلحق محلاه🎉❤😊,1
مواصلة تدمير تونس بطريقة غير مباشرة وقيس سعيد يتفرج عادي,-1
الحلقة هبطها في قناتي,
رحمة تبيع ههههههههههه,0
قداه رقم الحلقة,
الحل الوحيد باش يقضيوا عل ضاهرة  المخدرات في الليسيات هي قطعان المصروف عالاولاد و البنات تماما يرجعوا لوقت قبل كانت الناس الكل تقرا على رواحها الدنيا نظيفة و يهزوا في مأكلهم  من الدار و طلعوا أطباءو محامين و اساتذة ولابأس عليهم .كي يتقطع عليهم المصروف ما يلقاوش باش يشربوا الوالدين لازم يكونوا شخصيتهم أقوى من اولادهم,0
اي إعجبني,1
😮سامي الفهرس عيب عليك وآلله عنا نحنا لسيات مسيبة هكة عيب عليك وآلله,-1
نتمني عجبكم دوري في فلو جة2,
طفلة رحمة متعرف تمثل,-1
روعة 😮,1
عجبتني حركته فتوح ❤❤❤❤,1
محلاها الترجمة بالعربية الفسحة ماهواش عادي اللي قاعد يكتب يعطيه الصحة ماقصرش..😅😅😅😂😂😂,1
مسسلسل هاذا راح يدخل  مدارس تونس كاملة في حيط,-1
نتمنى عجبكم دوري في فلوجة 2 💕🙏🏻🥰,
برا الله لا تربحك يا سامي الفهري حسبنا الله فيك و انتم يا دزيريا فك عليكك مل باب بللء ليتتفرجو فيه في اونس نعيطولو شيطان انس سامي الفهري و فزد شبابنا ودخلهم في حيط معاش تتفرجو فيهم يهديكم ربي,-1
أنت بلال محلاك❤,1
تحياتي لكل أبضال مسلسل فلوجة❤❤😊,1
شنو تعملو بش توصلو لي تمثيل,
ايش تعدى عليك وقت الشدة المرا الي عطاتك بدنها وشرفها ووقتها وعمرها وكل ذرة فيها طيشها على كبر يدّك هذا الراجل السند والعوض وقت الشدة بعتها ايش تتوقع منك مرة أخرى كان الخذلان والكسرة والجرح يا راجلها زعمه زعمه لقات الخير في راجل براني خذا بنتك وما طيشهاش وكان سندها وبوها الي من لحمها ودمها طيشها ملا دور اب وام فاهمينو بالغالط,-1
ريم الرياحي ممثلة بالحق كبيرة برافو.,1
من الجزائر ألف تحية للجميع فلوجة 2🇩🇿🇩🇿🇩🇿,
صحة شريبتك شكون عجبو دوري في حلقة اليوم ❤,
وين نلقا حلقة كاملة😢,
صحة شريبتكم نتمنى عجبكم دوري في فلوجة 2 💕🙏🏻,
أنا نغني في الراب ادخلو اعطوني رايكم في غناياتي كان سمح ابونا امانكم رمضان مبارك ناسي الكل❤,
اين استطيع اشاهد المسلسل كامل ؟,
خاوتي وين نصيب هاذة المسلسل ما لقيتوش في اليوتيوب,
أفضل مسلسل روععععععع,1
حطولنا حلقات كاملة..الي تفوتو حلقة في التلفزة يلقاها لنا,
اللهم صلي وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه  تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله,
اقوى مسلسل فيك يا تونس,1
اعطونا الحلقات كاملين,
وين نقدر نتفرجه ؟,
أقوى مسلسل في رمضان تحية كبيرة لصاحب الفكرة و المخرج الأسعد الوسلاتي على الخدمة,
اقوى مسلسل..,
أفضل مسلسل تونسي,1
وين باش نلقاه براس امكم,
تحية للشعب التونسي أخوكم من المغرب,
نجم نتفرج فيها بلاش ؟؟؟؟,
هيا اسمها القناة الوطنية علاش تبيعوا فيه ..,
بلاهي وقتاش يجبوه,
مسلسل عالمي بأتم معنى الكلمة فخر لينا كتوانسة مستوى عالي برشا على قد ما يوجع على قد ما يخلينا نراجعو حساباتنا الف مرة يعيشنا لحظة بلحظة بماساة و المعاناة الي يعيشها الحراقة و الوجيعة و الحرقة متاع ديارهم علاهم واقع مر صعيب و يوجع برشا في الصميم زمان نعيشو فيه مرير و لازمنا كشعب أو حكومة أو سلطة نعملو يد في اليد باش نصلحو قدر ما يمكن و نتفادو قدر ما يمكن من   الخسائر البشرية في المستقبل  و نزرعو الأمل من جديد في بلادنا الي تبقى غالية علينا الكل مهما يصير..,1
ياخي فناهي قناة,
مسلسل متكامل من عدة جوانب  كشف المستور  جسد معاناة المواطن البسيط و انسداد الافق و الابواب امام الشباب اليائس .... في زمن غابت فيه دور الدولة........مسلسل روعة يستحق المشاهدة.,1
الحرقة خير ألف مرة من تونس لخراء 🎯,
تونس نبصق علاها حكومة و شعبا و أوروبا شعوب متحظرة و متطورة خير منكم يا منافقين,
يعني الحرقة و أوروبا ماهمش باهين و الحياة في تونس بااهية 😂😂 مالا تنوفيق,
مسلسل عالمي,1
مرة في المليون عام تخدمو مسلسل موضوعو يصلح بعيد على الريق البارد الي نشوفو فيه ..اما هووپ ما فماش في اليوتيوب وقتها نزيد نتأكد اللي بلادنا مفروغ منها و ما فلحتوا في شي حتى جرد مسلسل تعززو فيه كاينوا بالذهب  ......,-1
هبطو مسلسل علا يوتيوب يا دغف بالنسبه للموقع لحاطو ميخدمش,
هي صحيح قضية من قضايا المجتمع لكن فما ما اهم منها و مهما عملتوها مؤلمة فما قضايا في المجتمعات العربية الاخرى مؤلمة اكثر منها ، في بلدان اخرى يهاجرو عن طريق البحر و فيهم الي يموت و فيهم الي يوصل لكن بحثا عن الامان لاجيين مشردين مش بحثا عن الجنسية و الفيزا و الدولار و الكرهبة و بش يفيس قدام جيرانهم و بش يجيب كرهبة يبزنس البنات ، اهم شي الامان الي هو نعمة الشباب التونسي مش حامد ربي عليها ، في سوريا و اليمن و بلدان اخرى فيها الحرب يتمنون الامان الي نعيشوه في تونس مستعدين ياكلو خبز و ماء في سلام كل يوم تفجير و موت و دم يسافرو بالبحر و ميعرفوش مصيرهم يلوجو على الامان ، الفقر ينجم الانسان يعيش فيه لكن الحرب لا ، و برا شباب فقير ووبطال يعيش بلكتب ، زعمة بش نكونو احنا افقر من مصر ؟ الحمدلله على نعمة الامان و الله يسترنا و يهدي الناس الي تحرق و يحميهم,0
مسلسل عالمي  👏👏 على القليلة ديما الوطنية  تعملنا حاجة باهية خير من قناوات الزبالة  لخرى الي يجيبولنا كان في قلة لحياء,1
فدينا من المقت و الكابة الي في حياتنا و زادة في التلفزة ميكفيش انو نعيشو فيها الحاجات هذه و زادة في التلفزة ، و طريقة الطرح حزينة بارشا يطرحو القضية بطريقة تجيب كابة ، مش كيف مصر و لا سوريا مهما كانت القضية حزينة متحسش كابة و انت تتفرج,-1
شبيكم ما تهبطوش الحلقة كاملة علاش هكا ذليتونا على المسلسل🤬🤬🤬,
تتزعبنوا علينا توة ماو عديوه في التلفزة علاش  التمنييك,
صلوا على النبي المختار صلى الله عليه وسلم تسليما كثيرا مباركا فيه ❣💜❣💙❣💛❣🧡❣❤❣💚,
ويني الحلقة كاملة,
بربي الاعادة وين نلقاها يهبل المسلسل,
ارتيفي موقع فاشل!,-1
بلهي هبتو الحلقل الكل,
مسلسل إجتماعي يستحق المتابعة بعيدا عن الابتذال إلي تعودنا نشوفوه السنوات الاخيرة,1
المسلسل كامل,
وينو المسلسل,
الله يرحم جميع لي ماتو,
لا اعلم من تكون لكني ابكيك ابكي وطنا القي فيه ناهبوه شبابا عرض البحر,
صورة مطابقه للحقيقة,0
الله يهلهم الارهاب النهضه و الحكموا معاها مدة عشرة سنين سوداء خلاو او لادنا ترمي ارواحها للموت  الله ياخذ لنا حقنا منهم المجرمين,-1
والله بكيت ولحمي مشوك كامل الحلقة  وعنية تمع وحدها  فيه الم ام برافوووووو ✔🌿✔🌿✔💔,-1
رحموهم 🙂,
تحية من دزاير اما وين مش نلقا مسلسل كامل,
ياخي وين يتعاود الحرقة !!!!؟,
الوطنية بهايم علاش موش مهبطينو المسلسل,
وكما قال اامهذبي العمل هذا ملقاش شكون يبخرلو من الاعلام...,-1
هذه الأعمال تستحق الشكر  والاحترام خاطر تمس في قضايا وطنية مهمة وتحكي على الواقع المرير وتلخص حاا البلاد,1
حمد لله متبعتوش لقطة عذبتلي قلبي وقهرتني لطفك يارب,-1
الحقيقة المرة,-1
علاش المسلسل موش موجود في اليوتيوب وين نلقاه,
مسلسل رمضان 2021 ملا ابداع واخراج وتلوين ولقطات بورجولية حاجة طياره بارشا موضوع حساس بارشا برافو,1
الحرقة هي حل من حلول المواطن التونسي و هو حل واقعي,
الحرقة و شرف المحاولة خير ألف مرة مالعيش في تونس لخراء التخلف و الهمجية ...,1
يعني الحرقة مهاش باهية و تونس هي الباهية 😂😂😂 تحبو تحطو فكرة في مخاخ لعباد باش يعيشو في تونس لخراء و المهم يصوتو في الإنتخابات باش السراق و الطحانا يحكمو كيما يحبو ...,0
مسلسل تافه ✅,-1
بربي الحاكم علاش ميحسش باهم خليوهم يبكيو خليوهم سيبوهم راو كبده ما يحس بالجمره كان الي يعفس علها,0
احسن مسلسل ل2021 أما جانب اكتئاب حاد بعد ما تفرجت فيه😭😭😭,0
الله لا تربح حكامنا اللي ذلونا في بلادنا وخلونا نخموا في الحرقة,
صورة مطابقة للحقيقة,
والله نحب نفهم علاش مش موجود في يوتيوب قريتو حساب كل شي كان لي عايش في الغربة اش نعمل انا كيفاش نتفرج,
شكرا على هذا العمل الرائع.. تحفة فنيّة ❤,1
مسلسل يبكي و يوجع برشا انا تونسية  أصيلة الكاف عايشة في كندا و كي نتفرج فيه و انا في الغربة بصراحة يوصل في الصميم الف تحية للفريق  عمل إبداع و فخر لكل تونسي 🙏🙏🙏🙏👏👏👌👌👌👏🙏🙏🙏🙏,0
نحب نحرق,
ممثل روعة و مسلسل اكثر من روعة,1
هذا الممثل 👍👍👍👍👍👍 واش إسموا من فظلك 👍👍👍👍🌹🇩🇿,
هذا احسن ممثل في تونس وحش متع تمثيل,1
مسلسل الحرقة واقع مرير,1
فنان وممثل كبير,1
تونس بلد القهر وظلوم من غير ماتحول تقنعونا عيشين محقرن في بلادنا وفي بلاد الناس,
تو كي بلادنا تتصلح كلمة توجع💔 على الاخر علي خاطر بلادنا معادش تقوملها قايمة بلعكس ماشية وتزيد في نسبة الفقر والمجاعة ولا ننسى الوفيات بكرونا ربي يسترنا وأكهو عايشين بقدرة ربي و حده ✋,
مهذب الرميلي ممثل كبير برشا,1
علاش أحنا في لخارج بل فلوس نتفرجو,
و رحمة يما متع الصاروخ تقشعرك لحمك 🔥,1
مسلسل طيارة اما ملقاش حظه خسارة 💔,-1
ملا مسلسل أو ملا كتابة ملا نظام في الأحداث ، الشخصيات مش نرمال تيارة من جميع النواحي 👍👍👍☺️,1
مهذب الرميلي فنان كبير وممثل غول,1
شعر فوفا كل غولى😂😂😂😂,-1
سكر مقطوع ههههههههههه,
كي زرافة من غير  بلالط😂😂😂😂,
ربي يرحمك يا  ال كنت باهي وطيب زمحلاك الله يرحمك نشاءالله مندنيتك للجنه نشاءالله,
